param,correlation,abs_corr
Specific_Heat,0.9049554925027476,0.9049554925027476
min_cooling_supply_air_temp,0.8176745066190513,0.8176745066190513
usage_split_factor,0.8118896828952127,0.8118896828952127
max_heating_supply_air_temp,-0.7623755624797516,0.7623755624797516
Back_Visible_Reflectance,0.6906934189132012,0.6906934189132012
liters_per_person_per_day,-0.6632476649597312,0.6632476649597312
Conductivity,0.6516623398045505,0.6516623398045505
Back_Solar_Reflectance,0.6327464808600654,0.6327464808600654
heating_day_setpoint,0.6048846107823171,0.6048846107823171
Solar_Transmittance,-0.5571945961122957,0.5571945961122957
sched_evening,0.4729349855809933,0.4729349855809933
Density,0.4389286379911186,0.4389286379911186
Visible_Transmittance,-0.40615306834405723,0.40615306834405723
occupant_density_m2_per_person,0.3959624737118131,0.3959624737118131
Front_Visible_Reflectance,0.3649316973457126,0.3649316973457126
default_tank_volume_liters,0.3528948087900009,0.3528948087900009
cooling_day_setpoint,0.35013387933190315,0.35013387933190315
cooling_night_setpoint,-0.3421403144138811,0.3421403144138811
Front_Solar_Reflectance,0.2992978271508672,0.2992978271508672
heating_night_setpoint,-0.2763019446289498,0.2763019446289498
setpoint_c,0.1531905352846425,0.1531905352846425
sched_morning,0.14479102970488333,0.14479102970488333
Thermal_Resistance,-0.1351854681578666,0.1351854681578666
sched_afternoon,-0.11213817325977027,0.11213817325977027
default_heater_capacity_w,0.10076633164521198,0.10076633164521198
sched_peak,0.09834795891047157,0.09834795891047157
peak_hours,0.03368076263077354,0.03368076263077354
Back_IR_Emissivity,,
Dirt_Correction_Factor,,
Front_IR_Emissivity,,
Heater_Fuel_Type,,
Heater_Maximum_Capacity,,
Heater_Thermal_Efficiency,,
IR_Transmittance,,
Name,,
Optical_Data_Type,,
Roughness,,
Setpoint_Temperature_Schedule_Name,,
Solar_Absorptance,,
Solar_Diffusing,,
Tank_Volume,,
Thermal_Absorptance,,
Thickness,,
Use_Flow_Rate_Fraction_Schedule_Name,,
Visible_Absorptance,,
dhw_daily_liters,,
dhw_fraction_schedule,,
dhw_heater_capacity_w,,
dhw_heater_fuel_type,,
dhw_heater_thermal_eff,,
dhw_occupant_count,,
dhw_peak_flow_m3s,,
dhw_setpoint_schedule,,
dhw_tank_volume_m3,,
dhw_waterheater_object_name,,
doors_R_value_range_used,,
doors_U_value,,
doors_U_value_range_used,,
doors_area_m2,,
doors_construction_name,,
doors_opq_material_name,,
doors_win_material_name,,
doors_window_construction_name,,
equip_fraction_lost,,
equip_fraction_radiant,,
exterior_wall_R_value,,
exterior_wall_R_value_range_used,,
exterior_wall_U_value,,
exterior_wall_U_value_range_used,,
exterior_wall_area_m2,,
exterior_wall_construction_name,,
exterior_wall_opq_material_name,,
exterior_wall_win_material_name,,
exterior_wall_window_construction_name,,
f_ctrl,,
f_ctrl_range,,
fan_pressure,,
fan_pressure_range,,
fenestration_objects,,
final_wwr,,
flat_roof_R_value,,
flat_roof_R_value_range_used,,
flat_roof_U_value,,
flat_roof_U_value_range_used,,
flat_roof_area_m2,,
flat_roof_construction_name,,
flat_roof_opq_material_name,,
flat_roof_win_material_name,,
flat_roof_window_construction_name,,
flow_exponent,,
ground_floor_R_value,,
ground_floor_R_value_range_used,,
ground_floor_U_value,,
ground_floor_U_value_range_used,,
ground_floor_area_m2,,
ground_floor_construction_name,,
ground_floor_opq_material_name,,
ground_floor_win_material_name,,
ground_floor_window_construction_name,,
hrv_eff,,
hrv_eff_range,,
infiltration_base,,
infiltration_base_range,,
infiltration_schedule_name,,
infiltration_total_m3_s,,
inter_floor_R_value,,
inter_floor_R_value_range_used,,
inter_floor_U_value,,
inter_floor_U_value_range_used,,
inter_floor_area_m2,,
inter_floor_construction_name,,
inter_floor_opq_material_name,,
inter_floor_win_material_name,,
inter_floor_window_construction_name,,
interior_wall_R_value,,
interior_wall_R_value_range_used,,
interior_wall_U_value,,
interior_wall_U_value_range_used,,
interior_wall_area_m2,,
interior_wall_construction_name,,
interior_wall_opq_material_name,,
interior_wall_win_material_name,,
interior_wall_window_construction_name,,
lights_fraction_radiant,,
lights_fraction_replaceable,,
lights_fraction_visible,,
lights_wm2,,
obj_type,,
parasitic_wm2,,
roughness,,
system_type,,
tD,,
tN,,
top_opaque_material_name,,
top_window_material_name,,
ventilation_schedule_name,,
ventilation_total_m3_s,,
window1C_construction,,
windows_R_value_range_used,,
windows_U_value,,
windows_U_value_range_used,,
windows_area_m2,,
windows_construction_name,,
windows_opq_material_name,,
windows_win_material_name,,
windows_window_construction_name,,
wwr,,
wwr_range_used,,
year_factor,,
year_factor_range,,
